nodes,x,y,time,wall_time
16,10000,10000,4.69,4.703206986
8,10000,10000,8.04,8.051276516
4,10000,10000,12.44,12.449348525
2,10000,10000,18.29,18.302297427
1,10000,10000,34.49,34.496545426
