threads,time,wall_time
1,222.50,222.511278774
2,121.91,121.931829262
4,83.82,83.828061781
8,66.03,66.044094558
16,45.37,45.387461281
32,34.49,34.500083716
56,32.37,32.379933556
84,42.10,42.112501159
112,37.24,37.260978233
