threads,time,speedup,efficiency,wall_time
1,222.89,1.00,1.00,222.91
2,122.30,1.82,0.91,122.31
4,83.96,2.65,0.66,83.98
8,66.29,3.36,0.42,66.30
16,46.41,4.80,0.30,46.42
32,34.94,6.38,0.20,34.95
56,35.36,6.30,0.11,35.37
84,41.91,5.32,0.06,41.92
112,40.37,5.52,0.05,40.38
