threads,time,speedup,efficiency,wall_time
1,223.16,1.00,1.00,223.17
2,120.41,1.85,0.93,120.42
4,74.44,3.00,0.75,74.45
8,54.01,4.13,0.52,54.02
16,43.16,5.17,0.32,43.17
32,21.88,10.20,0.32,21.89
56,12.60,17.71,0.32,12.61
84,8.97,24.88,0.30,8.98
112,6.93,32.20,0.29,6.94
