threads,time,wall_time
1,223.51,223.526721376
2,120.51,120.527515698
4,84.95,84.967391485
8,67.49,67.504517486
16,48.75,48.762421510
32,41.43,41.445864900
56,32.71,32.721403472
84,39.24,39.256318905
112,40.23,40.243249885
