threads,time,speedup,efficiency,wall_time
1,222.50,1.00,1.00,222.51
2,121.91,1.83,0.91,121.93
4,83.82,2.65,0.66,83.83
8,66.03,3.37,0.42,66.04
16,45.37,4.90,0.31,45.39
32,34.49,6.45,0.20,34.50
56,32.37,6.87,0.12,32.38
84,42.10,5.29,0.06,42.11
112,37.24,5.97,0.05,37.26

