threads,time,speedup,efficiency,wall_time
1,221.01,1.00,1.00,221.02
2,121.18,1.82,0.91,121.19
4,83.00,2.66,0.67,83.02
8,68.73,3.22,0.40,68.74
16,48.29,4.58,0.29,48.30
32,36.20,6.11,0.19,36.21
56,33.66,6.57,0.12,33.67
84,42.86,5.16,0.06,42.88
112,38.81,5.69,0.05,38.83

