threads,time,wall_time
1,222.89,222.906659733
2,122.30,122.313679491
4,83.96,83.978848394
8,66.29,66.300453674
16,46.41,46.418417240
32,34.94,34.953119122
56,35.36,35.374266677
84,41.91,41.920311223
112,40.37,40.382414135
