threads,time,wall_time
1,221.01,221.021694555
2,121.18,121.191685840
4,83.00,83.023115524
8,68.73,68.742228816
16,48.29,48.297393778
32,36.20,36.213942568
56,33.66,33.673057946
84,42.86,42.877922600
112,38.81,38.828466082
